Variable,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_pct
Profit_INR,-696111.0,763567.0,404,10.100000000000001
Production_Tonnes,-23.9825,53.3575,333,8.325000000000001
Water_Efficiency_t_per_1000m3,-3.5728749999999994,10.384125,322,8.05
Yield_Tonnes_Ha,-1.6199999999999999,5.5,302,7.55
Water_Used_m3,-6072.75,16171.25,276,6.9
Revenue_INR,-736519.0,1780911.0,240,6.0
Potassium_kg_ha,30.100000000000016,179.7,32,0.8
Sunlight_Hours_Day,4.35,10.35,26,0.65
Phosphorus_kg_ha,11.399999999999999,104.20000000000002,16,0.4
Fertilizer_kg_ha,19.137500000000003,352.03749999999997,15,0.375
Nitrogen_kg_ha,34.41250000000001,205.3125,10,0.25
Disease_Pest_Risk_pct,10.899999999999995,81.3,10,0.25
Pesticide_Litre_ha,-0.37500000000000044,10.465,8,0.2
Humidity_pct,29.087499999999988,97.58750000000002,6,0.15
Soil_Moisture_pct,7.700000000000003,45.3,5,0.125
Avg_Temperature_C,15.349999999999994,38.150000000000006,2,0.05
Farm_Area_Hectares,-6.825000000000001,22.735,0,0.0
Rainfall_mm,-319.02499999999986,1522.5749999999998,0,0.0
Soil_pH,4.9399999999999995,8.459999999999999,0,0.0
Seed_Quality_Score,0.48499999999999993,1.165,0,0.0
Total_Cost_INR,-456551.0,1493125.0,0,0.0
Market_Price_INR_Tonne,-48845.375,138553.625,0,0.0
