Variable,Spearman_r,p_value,Interpretation
Production_Tonnes,0.7410088864820272,0.0,Significant
Market_Price_INR_Tonne,-0.5794883327744619,0.0,Significant
Water_Efficiency_t_per_1000m3,0.7356005273660501,0.0,Significant
Profit_INR,0.4890800381334831,1.1798360279115452e-239,Significant
Revenue_INR,0.41004153851415104,4.723425398893041e-162,Significant
Water_Used_m3,0.26417249163246814,7.4781999420527535e-65,Significant
Rainfall_mm,0.12980072778766474,1.6986575182737512e-16,Significant
Soil_Moisture_pct,0.09653624391573848,9.483281100097393e-10,Significant
Nitrogen_kg_ha,0.08169443097152614,2.2932607083866232e-07,Significant
Humidity_pct,0.08080400505156023,3.099964485153585e-07,Significant
Disease_Pest_Risk_pct,0.06482458622288136,4.0800161573175374e-05,Significant
Sunlight_Hours_Day,-0.051369850850436855,0.0011538674625670546,Significant
Phosphorus_kg_ha,0.047318575365714405,0.002758599997400038,Significant
Soil_pH,-0.031060859587248676,0.04949285567039229,Significant
Potassium_kg_ha,0.025060621119858965,0.11302852512133263,Not significant
Total_Cost_INR,0.024648782731813937,0.11907321274419397,Not significant
Farm_Area_Hectares,0.024050467084147823,0.1283025914355331,Not significant
Fertilizer_kg_ha,0.004080306731545429,0.7964210502299189,Not significant
Avg_Temperature_C,0.0019787967395589667,0.9004355942985801,Not significant
Pesticide_Litre_ha,-4.5550708400010096e-05,0.9977021121188062,Not significant
Seed_Quality_Score,-2.525107112769319e-05,0.9987261628213739,Not significant
